,Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title,dia_da_semana,mes_do_ano,morning,afternoon,night,dawn
882,0 days 00:26:39,2025-12-01 00:38:36+00:00,Jose,BR (Brazil),00:26:39,00:26:39,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Garotos Detetives Mortos: Temporada 1: O caso de Crystal Palace (episódio 1),0,12,,,,0 days 00:26:39
907,0 days 00:30:24,2025-12-01 00:17:29+00:00,Anas,BR (Brazil),00:37:36,00:37:36,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Vamos Celebrar!: Temporada 1: Pratos de fim de ano (episódio 3),0,12,,,,0 days 00:30:24
908,0 days 00:33:56,2025-11-30 23:25:17+00:00,Léo,BR (Brazil),01:10:25,01:10:25,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo seis: Mergulho (episódio 6),6,11,,,0 days 00:33:56,
911,0 days 00:07:12,2025-11-30 22:35:04+00:00,Anas,BR (Brazil),00:07:15,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Vamos Celebrar!: Temporada 1: Pratos de fim de ano (episódio 3),6,11,,,0 days 00:07:12,
912,0 days 00:37:15,2025-11-30 21:57:16+00:00,Anas,BR (Brazil),00:37:19,00:37:19,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Vamos Celebrar!: Temporada 1: Bolos do dia de neve (episódio 2),6,11,,,0 days 00:37:15,
913,0 days 00:40:55,2025-11-30 21:38:36+00:00,Léo,BR (Brazil),00:40:20,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo seis: Mergulho (episódio 6),6,11,,,0 days 00:40:55,
914,0 days 00:39:19,2025-11-30 21:17:37+00:00,Anas,BR (Brazil),00:39:19,00:39:19,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Vamos Celebrar!: Temporada 1: Confronto de Estrelas festivo! (episódio 1),6,11,,,0 days 00:39:19,
915,0 days 00:01:17,2025-11-30 21:16:03+00:00,Anas,BR (Brazil),00:01:17,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Vamos Celebrar!: Temporada 1: Quem vence a temporada das festas? (episódio 4),6,11,,,0 days 00:01:17,
917,0 days 00:55:09,2025-11-30 20:38:47+00:00,Léo,BR (Brazil),01:11:49,01:11:49,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo cinco: Projeto Nina (episódio 5),6,11,,,0 days 00:55:09,
918,0 days 01:16:34,2025-11-30 19:47:36+00:00,Anas,BR (Brazil),01:16:33,01:16:33,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,O Melhor. Natal. de Todos!,6,11,,,0 days 01:16:34,
919,0 days 00:23:30,2025-11-30 19:34:14+00:00,Léo,BR (Brazil),00:21:17,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo cinco: Projeto Nina (episódio 5),6,11,,,0 days 00:23:30,
920,0 days 00:49:01,2025-11-30 18:41:12+00:00,Léo,BR (Brazil),01:19:43,01:19:43,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo quatro: Querido Billy (episódio 4),6,11,,,0 days 00:49:01,
922,0 days 00:01:00,2025-11-30 18:36:38+00:00,Anas,BR (Brazil),00:01:05,Not latest view,,Autoplayed: user action: None; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Feliz Natal e Tal: Temporada 1: Antes do chanuca (episódio 5),6,11,,,0 days 00:01:00,
923,0 days 00:11:03,2025-11-30 18:12:50+00:00,Léo,BR (Brazil),00:30:14,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 4: Capítulo quatro: Querido Billy (episódio 4),6,11,,,0 days 00:11:03,
924,0 days 00:00:01,2025-11-30 18:12:44+00:00,Léo,BR (Brazil),00:19:13,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 4: Capítulo quatro: Querido Billy (episódio 4),6,11,,,0 days 00:00:01,
925,0 days 00:00:03,2025-11-30 18:12:34+00:00,Léo,BR (Brazil),00:19:13,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 4: Capítulo quatro: Querido Billy (episódio 4),6,11,,,0 days 00:00:03,
926,0 days 00:24:15,2025-11-30 18:12:21+00:00,Anas,BR (Brazil),00:24:20,00:24:20,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Feliz Natal e Tal: Temporada 1: Dia no shopping (episódio 4),6,11,,,0 days 00:24:15,
927,0 days 00:24:41,2025-11-30 17:47:01+00:00,Anas,BR (Brazil),00:24:46,00:24:46,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Feliz Natal e Tal: Temporada 1: Marcação dura (episódio 3),6,11,,0 days 00:24:41,,
928,0 days 00:19:47,2025-11-30 17:42:12+00:00,Léo,BR (Brazil),00:19:09,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo quatro: Querido Billy (episódio 4),6,11,,0 days 00:19:47,,
929,0 days 00:23:59,2025-11-30 17:23:00+00:00,Anas,BR (Brazil),00:24:04,00:24:04,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Feliz Natal e Tal: Temporada 1: Harmonia (episódio 2),6,11,,0 days 00:23:59,,
930,0 days 00:27:29,2025-11-30 16:54:55+00:00,Anas,BR (Brazil),00:27:29,00:27:29,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,"Feliz Natal e Tal: Temporada 1: Bem-vindo, Matt (episódio 1)",6,11,,0 days 00:27:29,,
936,0 days 00:30:14,2025-11-30 16:44:08+00:00,Léo,BR (Brazil),01:04:57,01:04:57,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo três: O monstro e a super-heroína (episódio 3),6,11,,0 days 00:30:14,,
937,0 days 00:05:59,2025-11-30 05:09:35+00:00,Léo,BR (Brazil),00:30:36,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo três: O monstro e a super-heroína (episódio 3),6,11,0 days 00:05:59,,,
939,0 days 00:25:02,2025-11-29 17:29:15+00:00,Léo,BR (Brazil),00:24:58,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo três: O monstro e a super-heroína (episódio 3),5,11,,0 days 00:25:02,,
940,0 days 01:14:28,2025-11-29 16:01:25+00:00,Léo,BR (Brazil),01:12:41,01:12:41,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo dois: A maldição de Vecna (episódio 2),5,11,,0 days 01:14:28,,
941,0 days 00:51:41,2025-11-29 14:54:05+00:00,Léo,BR (Brazil),01:18:18,01:18:18,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo um: O Clube Hellfire (episódio 1),5,11,,0 days 00:51:41,,
942,0 days 00:00:20,2025-11-29 02:44:48+00:00,Jose,BR (Brazil),00:00:20,00:00:20,,Autoplayed: user action: None; ,Samsung 2017 Kant-M UHD TV Smart TV,Absentia: Temporada 2: Mortes (episódio 1),5,11,,,,0 days 00:00:20
943,0 days 00:37:28,2025-11-29 02:05:29+00:00,Jose,BR (Brazil),00:39:22,00:39:22,,Autoplayed: user action: User_Interaction; ,Samsung 2017 Kant-M UHD TV Smart TV,Absentia: Temporada 1: Pecado original (episódio 10),5,11,,,,0 days 00:37:28
944,0 days 00:31:11,2025-11-29 01:34:10+00:00,Jose,BR (Brazil),00:44:25,00:44:25,,,Samsung 2017 Kant-M UHD TV Smart TV,Absentia: Temporada 1: Brincadeira de criança (episódio 9),5,11,,,,0 days 00:31:11
945,0 days 00:09:16,2025-11-29 01:17:56+00:00,Jose,BR (Brazil),00:13:43,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: Brincadeira de criança (episódio 9),5,11,,,,0 days 00:09:16
946,0 days 00:35:37,2025-11-29 00:41:31+00:00,Jose,BR (Brazil),00:42:04,00:42:04,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: Menino corajoso (episódio 8),5,11,,,,0 days 00:35:37
947,0 days 00:21:31,2025-11-29 00:28:17+00:00,Léo,BR (Brazil),00:22:51,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo um: O Clube Hellfire (episódio 1),5,11,,,,0 days 00:21:31
948,0 days 00:34:58,2025-11-29 00:04:53+00:00,Jose,BR (Brazil),00:42:08,00:42:08,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: A e B (episódio 7),5,11,,,,0 days 00:34:58
949,0 days 00:39:23,2025-11-28 23:24:45+00:00,Jose,BR (Brazil),00:41:24,00:41:24,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: Ninguém é inocente (episódio 6),4,11,,,0 days 00:39:23,
950,0 days 00:38:15,2025-11-28 22:45:58+00:00,Jose,BR (Brazil),00:41:59,00:41:59,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: Cavar (episódio 5),4,11,,,0 days 00:38:15,
951,0 days 00:15:38,2025-11-28 22:27:13+00:00,Jose,BR (Brazil),00:41:18,00:41:18,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,"Absentia: Temporada 1: Eu, você, ele, eu (episódio 4)",4,11,,,0 days 00:15:38,
952,0 days 00:07:01,2025-11-28 21:49:56+00:00,Jose,BR (Brazil),00:11:38,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,"Absentia: Temporada 1: Eu, você, ele, eu (episódio 4)",4,11,,,0 days 00:07:01,
953,0 days 00:30:29,2025-11-28 21:17:59+00:00,Jose,BR (Brazil),00:44:49,00:44:49,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: O show da Emily (episódio 3),4,11,,,0 days 00:30:29,
954,0 days 00:15:04,2025-11-28 21:02:20+00:00,Jose,BR (Brazil),00:42:12,00:42:12,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: Reiniciar (episódio 2),4,11,,,0 days 00:15:04,
956,0 days 00:27:51,2025-11-28 20:33:27+00:00,Jose,BR (Brazil),00:27:51,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: Reiniciar (episódio 2),4,11,,,0 days 00:27:51,
957,0 days 00:01:32,2025-11-28 20:27:38+00:00,Léo,BR (Brazil),00:01:41,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 4: Capítulo um: O Clube Hellfire (episódio 1),4,11,,,0 days 00:01:32,
958,0 days 00:07:56,2025-11-28 20:19:14+00:00,Léo,BR (Brazil),01:18:28,01:18:28,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo oito: A batalha de Starcourt (episódio 8),4,11,,,0 days 00:07:56,
959,0 days 00:30:12,2025-11-28 19:05:44+00:00,Jose,BR (Brazil),00:49:40,00:49:40,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: O retorno (episódio 1),4,11,,,0 days 00:30:12,
960,0 days 00:19:51,2025-11-28 18:04:57+00:00,Jose,BR (Brazil),00:19:28,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Absentia: Temporada 1: O retorno (episódio 1),4,11,,,0 days 00:19:51,
963,0 days 01:08:27,2025-11-28 17:51:28+00:00,Léo,BR (Brazil),01:07:00,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo oito: A batalha de Starcourt (episódio 8),4,11,,0 days 01:08:27,,
964,0 days 00:00:34,2025-11-28 17:50:52+00:00,Léo,BR (Brazil),00:53:18,00:53:18,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo sete: A mordida (episódio 7),4,11,,0 days 00:00:34,,
965,0 days 00:52:44,2025-11-28 16:34:57+00:00,Léo,BR (Brazil),00:00:03,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 3: Capítulo sete: A mordida (episódio 7),4,11,,0 days 00:52:44,,
966,0 days 00:00:04,2025-11-28 16:34:49+00:00,Léo,BR (Brazil),00:58:40,00:58:40,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 3: Capítulo seis: E pluribus unum (episódio 6),4,11,,0 days 00:00:04,,
967,0 days 00:57:45,2025-11-28 13:35:07+00:00,Léo,BR (Brazil),00:56:15,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 3: Capítulo seis: E pluribus unum (episódio 6),4,11,,0 days 00:57:45,,
968,0 days 00:49:54,2025-11-28 03:39:42+00:00,Léo,BR (Brazil),00:51:10,00:51:10,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 3: Capítulo cinco: Os devorados (episódio 5),4,11,,,,0 days 00:49:54
987,0 days 00:45:23,2025-11-28 01:33:18+00:00,Léo,BR (Brazil),00:53:26,00:53:26,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo quatro: A prova da sauna (episódio 4),4,11,,,,0 days 00:45:23
1005,0 days 01:20:56,2025-11-28 00:57:55+00:00,Anas,BR (Brazil),01:21:06,01:21:06,,,Netflix Opera Other,Stranger Things: Stranger Things 5: Capítulo quatro: Feiticeiro (episódio 4),4,11,,,,0 days 01:20:56
1006,0 days 00:06:42,2025-11-28 00:52:17+00:00,Léo,BR (Brazil),00:06:28,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo quatro: A prova da sauna (episódio 4),4,11,,,,0 days 00:06:42
1007,0 days 00:36:23,2025-11-28 00:08:46+00:00,Léo,BR (Brazil),00:50:22,00:50:22,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo três: A salva-vidas desaparecida (episódio 3),4,11,,,,0 days 00:36:23
1008,0 days 01:04:39,2025-11-27 23:30:03+00:00,Anas,BR (Brazil),01:03:48,01:03:48,,,Netflix Opera Other,Stranger Things: Stranger Things 5: Capítulo três: A armadilha (episódio 3),3,11,,,0 days 01:04:39,
1009,0 days 00:52:14,2025-11-27 22:37:41+00:00,Anas,BR (Brazil),00:52:25,00:52:25,,,Netflix Opera Other,Stranger Things: Stranger Things 5: Capítulo dois: O desaparecimento de Holly Wheeler (episódio 2),3,11,,,0 days 00:52:14,
1010,0 days 00:03:51,2025-11-27 22:33:45+00:00,Anas,BR (Brazil),01:05:58,01:05:58,,,Netflix Opera Other,Stranger Things: Stranger Things 5: Capítulo um: Missão de resgate (episódio 1),3,11,,,0 days 00:03:51,
1011,0 days 00:12:25,2025-11-27 21:47:38+00:00,Léo,BR (Brazil),00:12:21,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo três: A salva-vidas desaparecida (episódio 3),3,11,,,0 days 00:12:25,
1012,0 days 00:24:49,2025-11-27 21:22:08+00:00,Léo,BR (Brazil),00:50:51,00:50:51,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 3: Capítulo dois: O caso dos ratos (episódio 2),3,11,,,0 days 00:24:49,
1014,0 days 00:22:21,2025-11-27 19:25:29+00:00,Léo,BR (Brazil),00:23:32,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 3: Capítulo dois: O caso dos ratos (episódio 2),3,11,,,0 days 00:22:21,
1015,0 days 00:01:35,2025-11-27 19:23:41+00:00,Léo,BR (Brazil),00:47:23,00:47:23,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 3: Capítulo um: Está me ouvindo, Suzie? (episódio 1)",3,11,,,0 days 00:01:35,
1016,0 days 00:00:02,2025-11-27 19:22:37+00:00,Léo,BR (Brazil),00:37:13,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 3: Capítulo um: Está me ouvindo, Suzie? (episódio 1)",3,11,,,0 days 00:00:02,
1017,0 days 00:03:38,2025-11-27 19:18:28+00:00,Léo,BR (Brazil),00:03:34,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 3: Capítulo dois: O caso dos ratos (episódio 2),3,11,,,0 days 00:03:38,
1018,0 days 00:00:51,2025-11-27 19:16:24+00:00,Léo,BR (Brazil),00:47:28,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 3: Capítulo um: Está me ouvindo, Suzie? (episódio 1)",3,11,,,0 days 00:00:51,
1019,0 days 00:47:36,2025-11-27 18:00:16+00:00,Léo,BR (Brazil),00:46:46,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 3: Capítulo um: Está me ouvindo, Suzie? (episódio 1)",3,11,,,0 days 00:47:36,
1020,0 days 00:20:56,2025-11-27 17:24:58+00:00,Léo,BR (Brazil),00:59:13,00:59:13,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo nove: O portal (episódio 9),3,11,,0 days 00:20:56,,
1021,0 days 00:40:08,2025-11-27 14:17:09+00:00,Léo,BR (Brazil),00:38:56,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo nove: O portal (episódio 9),3,11,,0 days 00:40:08,,
1022,0 days 00:00:09,2025-11-27 14:16:52+00:00,Léo,BR (Brazil),00:42:29,00:42:29,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo sete: A irmã perdida (episódio 7),3,11,,0 days 00:00:09,,
1023,0 days 00:00:02,2025-11-27 14:14:10+00:00,Léo,BR (Brazil),00:00:02,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo nove: O portal (episódio 9),3,11,,0 days 00:00:02,,
1024,0 days 00:22:04,2025-11-27 13:51:57+00:00,Léo,BR (Brazil),00:44:40,00:44:40,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo oito: O Devorador de Mentes (episódio 8),3,11,,0 days 00:22:04,,
1025,0 days 00:03:26,2025-11-27 13:30:58+00:00,Léo,BR (Brazil),00:24:07,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo oito: O Devorador de Mentes (episódio 8),3,11,,0 days 00:03:26,,
1026,0 days 00:16:31,2025-11-27 13:00:26+00:00,Léo,BR (Brazil),00:20:56,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo oito: O Devorador de Mentes (episódio 8),3,11,,0 days 00:16:31,,
1027,0 days 00:04:52,2025-11-27 05:10:36+00:00,Léo,BR (Brazil),00:04:48,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo oito: O Devorador de Mentes (episódio 8),3,11,0 days 00:04:52,,,
1028,0 days 00:26:48,2025-11-27 04:43:13+00:00,Léo,BR (Brazil),00:42:20,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo sete: A irmã perdida (episódio 7),3,11,,,,0 days 00:26:48
1029,0 days 00:00:11,2025-11-27 04:42:57+00:00,Léo,BR (Brazil),00:31:52,00:31:52,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug (episódio 5),3,11,,,,0 days 00:00:11
1030,0 days 00:00:09,2025-11-27 04:27:55+00:00,Léo,BR (Brazil),00:17:14,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo sete: A irmã perdida (episódio 7),3,11,,,,0 days 00:00:09
1031,0 days 00:17:00,2025-11-27 03:27:14+00:00,Léo,BR (Brazil),00:17:05,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo sete: A irmã perdida (episódio 7),3,11,,,,0 days 00:17:00
1032,0 days 00:51:16,2025-11-27 02:28:13+00:00,Léo,BR (Brazil),00:52:36,00:52:36,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo seis: O espião (episódio 6),3,11,,,,0 days 00:51:16
1033,0 days 01:02:07,2025-11-27 02:17:22+00:00,Anas,BR (Brazil),01:02:07,Not latest view,,,Netflix Opera Other,Stranger Things: Stranger Things 5: Capítulo um: Missão de resgate (episódio 1),3,11,,,,0 days 01:02:07
1034,0 days 00:00:04,2025-11-27 02:16:56+00:00,Anas,BR (Brazil),00:01:13,Not latest view,,,Netflix Opera Other,Stranger Things:  1: Capítulo um: O desaparecimento de Will Byers (episódio 1),3,11,,,,0 days 00:00:04
1035,0 days 00:04:00,2025-11-27 02:12:15+00:00,Anas,BR (Brazil),00:31:39,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 5: Ainda estou aqui (episódio 21),3,11,,,,0 days 00:04:00
1036,0 days 00:24:53,2025-11-27 02:01:37+00:00,Léo,BR (Brazil),00:58:49,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug (episódio 5),3,11,,,,0 days 00:24:53
1039,0 days 00:01:09,2025-11-27 01:59:19+00:00,Anas,BR (Brazil),00:01:09,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Stranger Things:  1: Capítulo um: O desaparecimento de Will Byers (episódio 1),3,11,,,,0 days 00:01:09
1046,0 days 00:34:59,2025-11-27 01:24:33+00:00,Léo,BR (Brazil),00:31:44,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug (episódio 5),3,11,,,,0 days 00:34:59
1047,0 days 00:00:27,2025-11-27 01:19:44+00:00,Léo,BR (Brazil),00:26:44,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug (episódio 5),3,11,,,,0 days 00:00:27
1048,0 days 01:33:14,2025-11-27 00:03:37+00:00,Anas,BR (Brazil),01:33:14,01:33:14,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Uma Quedinha de Natal,3,11,,,,0 days 01:33:14
1056,0 days 00:43:27,2025-11-26 20:50:16+00:00,Léo,BR (Brazil),00:43:21,00:43:21,,,Firefox PC (Cadmium),"Stranger Things: Stranger Things 2: Capítulo quatro: Will, o sábio (episódio 4)",2,11,,,0 days 00:43:27,
1057,0 days 00:01:02,2025-11-26 17:33:27+00:00,Léo,BR (Brazil),00:00:56,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 2: Capítulo quatro: Will, o sábio (episódio 4)",2,11,,0 days 00:01:02,,
1058,0 days 00:00:09,2025-11-26 17:32:59+00:00,Léo,BR (Brazil),00:49:18,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo três: O girino (episódio 3),2,11,,0 days 00:00:09,,
1059,0 days 00:00:09,2025-11-26 17:32:59+00:00,Léo,BR (Brazil),00:49:18,00:49:18,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo três: O girino (episódio 3),2,11,,0 days 00:00:09,,
1060,0 days 00:00:58,2025-11-26 17:31:59+00:00,Léo,BR (Brazil),00:56:50,00:56:50,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 2: Capítulo dois: Gostosura ou travessura, aberração (episódio 2)",2,11,,0 days 00:00:58,,
1061,0 days 00:00:01,2025-11-26 17:31:19+00:00,Léo,BR (Brazil),00:00:06,Not latest view,,,Firefox PC (Cadmium),"Stranger Things: Stranger Things 2: Capítulo quatro: Will, o sábio (episódio 4)",2,11,,0 days 00:00:01,,
1062,0 days 00:00:04,2025-11-26 16:36:14+00:00,Anas,BR (Brazil),00:00:04,Not latest view,,,Netflix Opera Other,Stranger Things:  1: Capítulo um: O desaparecimento de Will Byers (episódio 1),2,11,,0 days 00:00:04,,
1063,0 days 00:48:28,2025-11-26 16:14:53+00:00,Léo,BR (Brazil),00:51:41,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo três: O girino (episódio 3),2,11,,0 days 00:48:28,,
1064,0 days 00:39:42,2025-11-26 14:57:36+00:00,Léo,BR (Brazil),00:52:55,Not latest view,,,Firefox PC (Cadmium),"Stranger Things: Stranger Things 2: Capítulo dois: Gostosura ou travessura, aberração (episódio 2)",2,11,,0 days 00:39:42,,
1065,0 days 00:00:07,2025-11-26 14:57:28+00:00,Léo,BR (Brazil),00:45:14,00:45:14,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo um: Mad Max (episódio 1),2,11,,0 days 00:00:07,,
1081,0 days 01:31:10,2025-11-26 11:43:05+00:00,Anas,BR (Brazil),01:31:10,01:31:10,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Feliz Assalto!,2,11,0 days 01:31:10,,,
1084,0 days 00:02:02,2025-11-26 04:49:58+00:00,Léo,BR (Brazil),00:15:33,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 2: Capítulo dois: Gostosura ou travessura, aberração (episódio 2)",2,11,,,,0 days 00:02:02
1085,0 days 00:13:45,2025-11-26 04:33:27+00:00,Léo,BR (Brazil),00:13:33,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,"Stranger Things: Stranger Things 2: Capítulo dois: Gostosura ou travessura, aberração (episódio 2)",2,11,,,,0 days 00:13:45
1086,0 days 00:18:37,2025-11-26 04:14:44+00:00,Léo,BR (Brazil),00:45:07,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo um: Mad Max (episódio 1),2,11,,,,0 days 00:18:37
1087,0 days 00:01:35,2025-11-26 04:12:55+00:00,Léo,BR (Brazil),00:26:50,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Stranger Things: Stranger Things 2: Capítulo um: Mad Max (episódio 1),2,11,,,,0 days 00:01:35
1088,0 days 00:26:32,2025-11-26 03:18:25+00:00,Léo,BR (Brazil),00:25:39,Not latest view,,,Firefox PC (Cadmium),Stranger Things: Stranger Things 2: Capítulo um: Mad Max (episódio 1),2,11,,,,0 days 00:26:32
1089,0 days 00:09:56,2025-11-26 02:22:22+00:00,Anas,BR (Brazil),01:31:41,01:31:41,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Borbulhas de Amor,2,11,,,,0 days 00:09:56
1093,0 days 01:15:19,2025-11-26 01:05:16+00:00,Anas,BR (Brazil),01:39:29,01:39:29,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Nosso Segredinho,2,11,,,,0 days 01:15:19
1095,0 days 00:17:31,2025-11-25 22:55:20+00:00,Anas,BR (Brazil),00:18:18,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Recruta: Temporada 2: E.N.Q.M.P.D. (episódio 6),1,11,,,0 days 00:17:31,
1096,0 days 00:01:05,2025-11-25 22:26:23+00:00,Jose,BR (Brazil),00:03:46,00:03:46,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,"Dexter: Temporada 2: That Night, A Forest Grew (episódio 7)",1,11,,,0 days 00:01:05,
1099,0 days 00:46:00,2025-11-25 21:49:55+00:00,Anas,BR (Brazil),00:47:18,00:47:18,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Recruta: Temporada 2: A.E.N.A. (episódio 5),1,11,,,0 days 00:46:00,
1100,0 days 00:44:37,2025-11-25 21:22:01+00:00,Léo,BR (Brazil),00:52:18,00:52:18,,,Firefox PC (Cadmium),Stranger Things:  1: Capítulo oito: De ponta-cabeça (episódio 8),1,11,,,0 days 00:44:37,
