CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between
garota do século 20,Anas,0 days 01:57:08,0 days 00:59:19,0 days 00:00:00,0 days 00:57:49,0 days 00:00:00,5,,,0,0,1,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,garota do século 20,Garota do Século 20,"[10749, 18]",https://image.tmdb.org/t/p/w500/uy3NhZq5IMw9c7vSoP2Z1GsQOJo.jpg,movie,7.8983,4,8.138,796,121,,['KR'],"['friendship', 'love triangle', 'coming of age', 'unrequited love', 'teenage girl', 'tearjerker', 'first love', 'city life', '1990s', 'depressed', 'romantic', 'compassionate']",-1,-1,0,0,0,0,0,0,0,5.6,0 days 00:23:25.600000,
de repente uma família,Anas,0 days 01:56:47,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:56:47,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,de repente uma família,De Repente uma Família,"[35, 18]",https://image.tmdb.org/t/p/w500/89uyFdvre8F51FfEk4GYv5iW8AL.jpg,movie,5.2571,8,7.498,3188,118,,['US'],"['court case', 'social worker', 'adoption', 'based on true story', 'parenting', 'foster family', 'amusement park', 'lgbt', 'substance abuse', 'family dog', 'comforting']",-1,2,0,0,0,0,0,0,0,5.6,0 days 01:56:47,
french lover,Anas,0 days 01:56:42,0 days 01:12:36,0 days 00:00:00,0 days 00:00:00,0 days 00:44:06,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,french lover,French Lover,"[10749, 35]",https://image.tmdb.org/t/p/w500/eMGi1vZiI0CeRsn8UMa147PaVCa.jpg,movie,4.8931,1,6.087,223,122,,['FR'],"['waitress', 'interracial relationship', 'famous actor', 'paris']",-1,5,0,0,0,0,0,0,0,2.0,0 days 00:58:21,
o assassino,Jose,0 days 01:53:09,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:53:09,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,o assassino,Assassino de Sangue,"[27, 53]",https://image.tmdb.org/t/p/w500/6IhsMY5Ud5WJxtEX9gpGuvHP7nl.jpg,movie,111.2285,2,5.818,44,90,,['US'],[],-1,-1,0,0,0,0,0,0,0,5.6,0 days 01:53:09,
passei por aqui,Jose,0 days 01:52:43,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:52:43,3,,,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,passei por aqui,Passei por Aqui,"[80, 53]",https://image.tmdb.org/t/p/w500/txyWmAMhoy6liIueQhBnjqcbrSr.jpg,movie,1.9623,4,6.274,824,110,,['GB'],"['judge', 'graffiti', 'stakeout', 'break in', 'hidden room', 'suspenseful']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:37:34.333333333,
sombra lunar,Jose,0 days 01:51:28,0 days 01:03:49,0 days 00:12:16,0 days 00:00:00,0 days 00:35:23,3,,,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,sombra lunar,Sombra Lunar,"[878, 53]",https://image.tmdb.org/t/p/w500/gCIF7srS60AK6Ejrb3s5HkCOHSz.jpg,movie,2.261,7,6.173,1558,115,,"['US', 'CA']","['philadelphia, pennsylvania', 'detective', 'time travel', 'living in car', 'serial killer', 'hospital', 'grave digger', 'polaroid camera', 'angry', 'father daughter relationship', 'grandfather granddaughter relationship']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:37:09.333333333,
os irregulares de baker street,Jose,0 days 01:48:35,0 days 00:53:59,0 days 00:00:00,0 days 00:00:00,0 days 00:54:36,3,,,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,os irregulares de baker street,Os Irregulares de Baker Street,"[18, 9648, 10765]",https://image.tmdb.org/t/p/w500/gP7bD2RpKdCAGmeu5W7fHgCeMrK.jpg,tv,5.0443,5,7.125,353,[53],1,['GB'],"['amateur detective', 'victorian england', 'partner', 'gang', 'supernatural power', 'victorian era', 'irreverent', 'bittersweet', 'period piece', 'suspense', 'horror', 'thriller', 'ominous']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:36:11.666666666,
anjos da lei,Léo,0 days 01:46:44,0 days 01:10:47,0 days 00:00:00,0 days 00:35:57,0 days 00:00:00,2,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,anjos da lei,Anjos da Lei,"[80, 9648, 18]",https://image.tmdb.org/t/p/w500/bobmrfly4RfxW5ZylfqpaUgbWLR.jpg,tv,33.1767,39,7.229,188,[45],5,['US'],"['undercover', 'undercover agent', 'police', 'coming of age', 'police detective', 'police procedural']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:53:22,
um match surpresa,Anas,0 days 01:44:36,0 days 01:07:57,0 days 00:00:00,0 days 00:00:00,0 days 00:36:39,3,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,um match surpresa,Um Match Surpresa,"[35, 10749]",https://image.tmdb.org/t/p/w500/3VoTb0s7nbCeotnDU27hBk9Olt9.jpg,movie,1.9289,5,6.924,1592,105,,['US'],"['holiday', 'ugliness', 'online dating', 'christmas', 'dating app', 'happy ending', 'christmas romance', 'feelgood']",-1,-1,1,0,0,0,0,0,0,5.6,0 days 00:34:52,
hanna,Jose,0 days 01:44:17,0 days 01:44:17,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,2,,,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,hanna,Hanna,"[10759, 18]",https://image.tmdb.org/t/p/w500/iYUtjx1EN4SVTgxd2TB4cZTGSQb.jpg,tv,13.7952,7,7.45,867,,3,['US'],"['coming of age', 'based on movie', 'child soldier', 'vengeance', 'admiring', 'amused']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:52:08.500000,
desobedientes,Jose,0 days 01:44:08,0 days 00:11:57,0 days 00:00:00,0 days 00:00:00,0 days 01:32:11,5,,,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,desobedientes,Desobedientes,"[18, 9648]",https://image.tmdb.org/t/p/w500/dSAwiJCW5tV1G1ETih1v475Kats.jpg,tv,11.0781,1,6.241,139,[44],1,['CA'],"['small town', 'commune', 'group therapy', 'hallucination', 'cult', 'cop', 'lesbian relationship', 'escape', 'memory', 'miniseries', 'pregnant woman', 'walkie talkie', 'troubled teen', 'vermont', 'lgbt', 'questioning', 'sleepwalking', 'bonding', 'mysterious', 'academy', 'facility', 'mysterious disappearance', 'baby shower', 'bisexual woman', 'transgender', 'psychological manipulation', 'secrets', 'critical', 'thriller', 'ambiguous', 'psychological torture', 'headmistress', 'missing children']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:20:49.600000,
a paris errada,Anas,0 days 01:43:44,0 days 00:31:28,0 days 00:00:00,0 days 00:00:00,0 days 01:12:16,4,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,a paris errada,A Paris Errada,"[10749, 35]",https://image.tmdb.org/t/p/w500/nMhG3Gt2qyQWoKRqsaXWQ1tnlL4.jpg,movie,3.3179,1,6.7,293,107,,['US'],"['dating show', 'dramatic']",-1,-1,0,0,0,0,0,0,0,5.6,0 days 00:25:56,
"se beber, não case",Léo,0 days 01:43:31,0 days 00:00:00,0 days 00:00:00,0 days 01:37:35,0 days 00:05:56,3,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"se beber, não case","Se Beber, Não Case!",[35],https://image.tmdb.org/t/p/w500/m0tQyMdp3fy5ooUOQkJMd1fQKBJ.jpg,movie,15.9518,17,7.329,17900,99,,['US'],"['amnesia', 'blackjack', 'stag night', 'lost weekend', 'chapel', 'hit with tire iron', 'memory loss', 'las vegas', 'drugs', 'irreverent', 'absurd', 'dramatic', 'hilarious', 'amused', 'assertive', 'awestruck', 'celebratory', 'dignified', 'farcical', 'shaggy dog story']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:34:30.333333333,
arrested development,Anas,0 days 01:43:22,0 days 00:00:00,0 days 00:00:00,0 days 01:43:22,0 days 00:00:00,5,,,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,arrested development,Arrested Development,[35],https://image.tmdb.org/t/p/w500/2N238rhCY1V29DkjmyMocBjAQzw.jpg,tv,39.6833,23,7.9,1613,,5,['US'],"['prison', 'narration', 'dysfunctional family', 'dark comedy', 'family relationships', 'sexual humor', 'mockumentary', 'psychotic', 'fake documentary', 'orange county, california', 'sitcom', 'deadpan', 'offbeat', 'witty', 'sharp']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:20:40.400000,
cartão de natal,Anas,0 days 01:41:57,0 days 00:16:02,0 days 00:00:00,0 days 00:00:00,0 days 01:25:55,2,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,cartão de natal,Cartão de Natal,"[10749, 35]",https://image.tmdb.org/t/p/w500/593HrzXc8g39irLI6faV64tLCes.jpg,movie,1.1229,9,6.3,848,104,,['US'],"['holiday', 'snowstorm', 'inheritance', 'christmas card', 'true love', 'christmas']",-1,-1,1,0,0,0,0,0,0,5.6,0 days 00:50:58.500000,
"se beber, não case! parte ii",Léo,0 days 01:41:29,0 days 00:00:00,0 days 00:00:00,0 days 00:58:16,0 days 00:43:13,3,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,"se beber, não case! parte ii","Se Beber, Não Case! Parte III",[35],https://image.tmdb.org/t/p/w500/6SOnmTK0XoEcc7AoyXoce76to3Y.jpg,movie,6.0038,13,6.208,9132,100,,['US'],['las vegas'],-1,5,0,0,0,0,0,0,0,5.6,0 days 00:33:49.666666666,
nosso segredinho,Anas,0 days 01:41:16,0 days 01:41:16,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,2,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,nosso segredinho,Nosso Segredinho,"[10749, 35, 18]",https://image.tmdb.org/t/p/w500/u2WzilmXnBEAuGjOWIuY1a7k6yA.jpg,movie,1.4732,2,6.243,571,101,,['US'],"['holiday', 'christmas', 'absurd']",-1,2,1,0,0,0,0,0,0,5.6,0 days 00:50:38,
"se beber, não case! parte iii",Léo,0 days 01:40:24,0 days 00:49:52,0 days 00:00:00,0 days 00:25:55,0 days 00:24:37,10,,,1,2,1,5,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"se beber, não case! parte iii","Se Beber, Não Case! Parte III",[35],https://image.tmdb.org/t/p/w500/6SOnmTK0XoEcc7AoyXoce76to3Y.jpg,movie,6.0038,13,6.208,9132,100,,['US'],['las vegas'],-1,5,0,0,0,0,0,0,0,5.6,0 days 00:10:02.400000,
the sinner,Jose,0 days 01:38:59,0 days 00:00:00,0 days 00:00:00,0 days 01:38:59,0 days 00:00:00,6,,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,the sinner,The Sinner,"[80, 18]",https://image.tmdb.org/t/p/w500/rmibFGdqOe0kKKhPls0jVOdZCWw.jpg,tv,25.4463,9,7.476,1201,,4,['US'],"['based on novel or book', 'anthology', 'murder', 'memory loss', 'drugs', 'murder investigation', 'religiosity', 'sisterhood', 'psychotic attack']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:16:29.833333333,
caramelo,Anas,0 days 01:38:19,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:38:19,2,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,caramelo,Caramelo,"[35, 18]",https://image.tmdb.org/t/p/w500/c4ZEAah5a01cu27w7vT2IAoFogk.jpg,movie,6.2057,1,7.735,255,101,,['BR'],"['caramelo', 'καραμελο']",-1,2,0,0,0,0,0,0,0,5.6,0 days 00:49:09.500000,
five nights at freddy's,Anas,0 days 01:36:37,0 days 00:00:00,0 days 00:00:00,0 days 01:11:37,0 days 00:25:00,3,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,five nights at freddy's,Five Nights at Freddy's - O Pesadelo Sem Fim,"[27, 53]",https://image.tmdb.org/t/p/w500/1yUbmAiw2cUSpyXNIaiST7JzCtG.jpg,movie,11.57,3,7.335,4916,110,,['US'],"['night shift', 'child murder', 'restaurant', 'custody battle', 'child in peril', 'security guard', 'based on video game', 'evil child', 'duringcreditsstinger', 'troubled past', 'child neglect', 'haunted attractions', 'animatronic', 'abandoned building', 'brother sister relationship', 'supernatural horror', 'child abduction', 'horrified', 'vibrant', 'android horror', 'suspense mystery', 'youtubers']",-1,2,0,0,0,0,0,0,0,5.6,0 days 00:32:12.333333333,
baki - o campeão,Jose,0 days 01:36:32,0 days 00:00:00,0 days 00:00:00,0 days 00:41:01,0 days 00:55:31,8,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,baki - o campeão,Baki - O Campeão,"[16, 10759, 80, 18]",https://image.tmdb.org/t/p/w500/hTlJIKptJedaho7N42xCdX0dJyY.jpg,tv,25.2004,8,8.1,1361,[24],2,['JP'],"['martial arts', 'fight', 'based on manga', 'underground fighting', 'warrior', 'strong', 'shounen', 'anime', 'fighting style', 'original net animation (ona)']",-1,5,0,0,0,0,0,1,1,5.6,0 days 00:12:04,
um natal ex-pecial,Anas,0 days 01:35:37,0 days 00:34:12,0 days 00:00:00,0 days 00:50:26,0 days 00:10:59,3,,,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,um natal ex-pecial,Um Natal Ex-pecial,"[10749, 35]",https://image.tmdb.org/t/p/w500/sinvwRDfIJZj4h36m3WXPTuX45e.jpg,movie,2.5257,1,6.119,168,91,,['US'],"['small town', 'holiday', 'marital separation', 'christmas', 'handyman', 'small town doctor', 'christmastime', 'family traditions', 'teenage children', 'new girlfriend']",-1,1,1,0,0,0,0,0,0,5.6,0 days 00:31:52.333333333,
uma quedinha de natal,Anas,0 days 01:33:14,0 days 01:33:14,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uma quedinha de natal,Uma Quedinha de Natal,"[10749, 35, 10751]",https://image.tmdb.org/t/p/w500/p9wwj23RF3Nqjj0EzxsDx0s2aV7.jpg,movie,1.4566,4,6.219,868,95,,['US'],"['holiday', 'christmas spirit']",-1,1,1,0,0,0,0,0,0,5.6,0 days 01:33:14,
uma advogada brilhante,Anas,0 days 01:33:12,0 days 01:33:12,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,uma advogada brilhante,,[],,movie,,,,,,,,[],-1,-1,0,0,0,0,0,0,0,5.6,0 days 01:33:12,
os bad boas,Anas,0 days 01:33:02,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:33:02,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,os bad boas,Os Bad Boas,"[28, 35, 80, 9648]",https://image.tmdb.org/t/p/w500/sCMbtE4Owgbgndty07jCA7wH08F.jpg,movie,5.2688,1,5.9,170,95,,['NL'],"['detective', 'half-brother', 'buddy cop', 'buddy comedy', 'secret investigation', 'corrupt police officials', 'bodycam', 'swapping partners', 'cop partners']",-1,5,0,0,0,0,0,0,0,5.6,0 days 01:33:02,
trocados,Anas,0 days 01:33:01,0 days 00:52:24,0 days 00:00:00,0 days 00:00:00,0 days 00:40:37,3,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,trocados,Trocadas na Maternidade,"[18, 10751]",https://image.tmdb.org/t/p/w500/db5XnOxGcUHeNhBRNbHfqTlzXmk.jpg,tv,23.7138,15,7.5,215,[43],5,['US'],"['deaf', 'disabled', 'switched at birth', 'sign languages', 'teen drama', 'biological parents']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:31:00.333333333,
katla,Jose,0 days 01:32:35,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:32:35,4,,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,katla,Katla,"[18, 9648, 10765]",https://image.tmdb.org/t/p/w500/vRPDQP51i1Z2RuoIQaxVSj7Pd5R.jpg,tv,5.3171,5,6.941,388,[45],1,['IS'],"['small town', 'volcano', 'outbreak', 'volcanic eruption', 'mysterious']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:23:08.750000,
não fale com estranhos,Jose,0 days 01:31:49,0 days 00:04:28,0 days 00:00:00,0 days 00:00:00,0 days 01:27:21,12,,,0,0,0,0,0,11,1,0,0,0,0,0,0,0,5,0,0,7,0,não fale com estranhos,Não Fale com Estranhos,"[9648, 80]",https://image.tmdb.org/t/p/w500/60ZucrnG1YkcxAKnIHQVbB6z1WY.jpg,tv,8.311,6,7.172,532,,1,['GB'],"['detective', 'based on novel or book', 'blackmail', 'miniseries', 'memory loss', 'drug use', 'intoxication', 'neighborhood', 'lies', 'sexting', 'high school american football', 'police women', 'secrets', 'suspenseful', 'british series']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:07:39.083333333,
borbulhas de amor,Anas,0 days 01:31:45,0 days 00:09:59,0 days 00:00:00,0 days 00:00:00,0 days 01:21:46,3,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,borbulhas de amor,Borbulhas de Amor,"[10749, 35]",https://image.tmdb.org/t/p/w500/ultFiOA5ASUOYiOny6FIgAlv8YF.jpg,movie,2.7251,1,6.036,210,99,,"['US', 'FR']","['christmas', 'admiring']",-1,2,1,0,0,0,0,0,0,5.6,0 days 00:30:35,
minions,Léo,0 days 01:31:24,0 days 00:00:00,0 days 00:00:00,0 days 01:31:24,0 days 00:00:00,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,minions,Minions,"[10751, 16, 12, 35]",https://image.tmdb.org/t/p/w500/caq9Xi6b1sZNREfzFBO2tRIBzWn.jpg,movie,4.4737,11,6.419,11013,91,,['US'],"['assistant', 'villain', 'prequel', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'supervillain', 'amused', 'joyful']",-1,1,0,0,0,0,0,0,0,5.6,0 days 01:31:24,
feliz assalto!,Anas,0 days 01:31:10,0 days 00:00:00,0 days 01:31:10,0 days 00:00:00,0 days 00:00:00,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,feliz assalto!,Feliz Assalto!,"[10749, 80, 35]",https://image.tmdb.org/t/p/w500/d8DZAkIp3ibfZrDHDGKfkdMbiNn.jpg,movie,2.4673,1,6.079,248,96,,"['US', 'GB']","['holiday', 'romcom', 'heist', 'christmas', 'cliché']",-1,2,1,0,0,0,0,0,0,5.6,0 days 01:31:10,
quem vai salvar o natal? 2,Anas,0 days 01:29:31,0 days 00:00:00,0 days 00:00:00,0 days 01:29:31,0 days 00:00:00,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,quem vai salvar o natal? 2,Quem Vai Salvar o Natal? 2,"[35, 10751]",https://image.tmdb.org/t/p/w500/72rWDqGgOkEcKxf4iQqHwzF7JDE.jpg,movie,1.7792,1,5.4,32,93,,['ES'],['christmas'],-1,-1,1,0,0,0,0,0,0,5.6,0 days 01:29:31,
the umbrella academy,Jose,0 days 01:28:14,0 days 00:02:11,0 days 00:00:00,0 days 00:00:00,0 days 01:26:03,4,,,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,the umbrella academy,The Umbrella Academy,"[10759, 10765, 18]",https://image.tmdb.org/t/p/w500/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,tv,38.07,7,8.488,9894,,4,['US'],"['secret society', 'time travel', 'superhero', 'based on comic', 'dysfunctional family', 'alternate history', 'apocalypse', 'armageddon', 'universe', 'sibling', 'super power', 'end of world', 'curious', 'kids', 'science fiction', 'offbeat', 'witty', 'whimsical', 'wry']",-1,5,0,1,0,1,0,1,0,4.0,0 days 00:22:03.500000,
meio grávida,Anas,0 days 01:28:11,0 days 01:28:11,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,meio grávida,Meio Grávida,"[35, 10749]",https://image.tmdb.org/t/p/w500/qh4H7H0XYv9TJ0ZSFsOc64NUG1W.jpg,movie,2.8179,1,5.599,307,100,,['US'],"['pregnant', 'whimsical']",-1,5,0,0,0,0,0,0,0,5.6,0 days 01:28:11,
ele acredita em papai noel!,Anas,0 days 01:27:58,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:27:58,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ele acredita em papai noel!,Ele Acredita em Papai Noel!,"[10749, 35]",https://image.tmdb.org/t/p/w500/zMZEycAuLPQ2dBweIzDqUsiS8lp.jpg,movie,0.7974,4,5.237,150,89,,['US'],['christmas'],-1,1,1,0,0,0,0,0,0,5.6,0 days 01:27:58,
natal com você,Anas,0 days 01:27:18,0 days 01:11:50,0 days 00:00:00,0 days 00:15:28,0 days 00:00:00,3,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,natal com você,Natal com Você,"[10749, 35]",https://image.tmdb.org/t/p/w500/rU2sCry1YzuBoeMj06eWqTfponC.jpg,movie,1.4654,4,5.82,236,89,,['US'],['christmas'],-1,1,1,0,0,0,0,0,0,5.6,0 days 00:29:06,
o segredo do papai noel,Anas,0 days 01:27:10,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:27:10,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o segredo do papai noel,O Segredo do Papai Noel,"[35, 10749]",https://image.tmdb.org/t/p/w500/4bO9x28Kc4mCVvB8QL5EpRAYSwV.jpg,movie,2.8536,1,6.299,179,92,,['US'],"['santa claus', 'resort', 'single mother', 'ski resort', 'christmas spirit', 'ski', 'christmas', 'holiday resort', 'secret santa', 'alpine skiing', 'christmas romance']",-1,1,1,0,0,0,0,0,0,5.6,0 days 01:27:10,
uma mulher sem filtro,Anas,0 days 01:27:07,0 days 00:29:17,0 days 00:00:00,0 days 00:57:50,0 days 00:00:00,2,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,uma mulher sem filtro,Uma Mulher Sem Filtro,[35],https://image.tmdb.org/t/p/w500/oci0gTmLt55n6T5reT6xKvRNT9y.jpg,movie,0.79,1,6.4,18,92,,['BR'],"['feminism', 'amused']",-1,-1,0,0,0,0,0,0,0,5.6,0 days 00:43:33.500000,
o preço da família,Anas,0 days 01:26:43,0 days 00:00:00,0 days 00:00:00,0 days 01:26:43,0 days 00:00:00,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,o preço da família,O Preço da Família,[35],https://image.tmdb.org/t/p/w500/LajfxwKDkZlbKacfLvrzLMIocQ.jpg,movie,0.3697,4,6.4,238,90,,"['IT', 'US']",[],-1,-1,0,0,0,0,0,0,0,5.6,0 days 01:26:43,
dna do crime,Anas,0 days 01:25:50,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:25:50,4,,,0,1,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,dna do crime,DNA DO CRIME,"[18, 80, 10759]",https://image.tmdb.org/t/p/w500/cqg7OXDPSWSCsfAs9BuBp0r7kO3.jpg,tv,5.6288,3,7.5,120,,2,['BR'],[],-1,5,0,0,0,0,0,0,0,5.6,0 days 00:21:27.500000,
operação beijo de natal,Anas,0 days 01:25:18,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:25:18,1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,operação beijo de natal,Operação Beijo de Natal,"[10770, 10749, 35]",https://image.tmdb.org/t/p/w500/sjv0EBL6MEGCixUWop1hrWTG0fj.jpg,movie,0.352,2,5.8,15,87,,"['US', 'CA']","['christmas', 'christmas romance']",-1,-1,1,0,0,0,0,0,0,5.6,0 days 01:25:18,
um milagre de natal para daisy,Anas,0 days 01:24:38,0 days 00:42:04,0 days 00:00:00,0 days 00:00:00,0 days 00:42:34,4,,,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,um milagre de natal para daisy,Um Milagre de Natal para Daisy,"[10749, 35, 10751, 10770]",https://image.tmdb.org/t/p/w500/unzCtStYLXr12pbdq3kGo6kBcy7.jpg,movie,0.8371,5,5.858,109,85,,['US'],"['based on novel or book', 'christmas']",-1,0,1,0,0,0,0,0,0,5.6,0 days 00:21:09.500000,
no ritmo do natal,Anas,0 days 01:23:27,0 days 00:00:00,0 days 00:00:00,0 days 01:23:27,0 days 00:00:00,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no ritmo do natal,No Ritmo do Natal,"[10749, 35]",https://image.tmdb.org/t/p/w500/nDca3DKfHqD2NHZF8vmtOWYxqjc.jpg,movie,1.402,2,5.8,238,87,,['US'],"['dancer', 'holiday', 'love', 'nightclub owner', 'male stripper', 'male stripping', 'christmas', 'life', 'cliché', 'embarrassed', 'gay interest']",-1,1,1,0,0,0,0,0,0,5.6,0 days 01:23:27,
"os seus, os meus e os nossos",Anas,0 days 01:23:02,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:23:02,1,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"os seus, os meus e os nossos","Os Seus, os Meus e os Nossos","[35, 10751, 10749]",https://image.tmdb.org/t/p/w500/5AQ9RLdv5Po91B7s7MNPQmqHtjt.jpg,movie,2.5733,21,6.18,890,90,,['US'],"['big family', 'family', 'blended family']",-1,1,0,0,0,0,0,0,0,5.6,0 days 01:23:02,
guerra e revolta,Jose,0 days 01:22:19,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:22:19,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,guerra e revolta,Guerra e Revolta,"[28, 18, 36]",https://image.tmdb.org/t/p/w500/gon3hWutfHTz7jCuG7i3kBRzS0R.jpg,movie,3.2583,2,6.98,196,128,,['KR'],"['japanese invasion of korea', 'joseon dynasty (1392–1910)']",-1,5,0,0,0,0,0,0,0,5.6,0 days 01:22:19,
monstro,Jose,0 days 01:22:06,0 days 00:00:00,0 days 00:05:26,0 days 00:06:59,0 days 01:09:41,4,,,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,monstro,Monarch - Legado de Monstros,"[10765, 18, 10759]",https://image.tmdb.org/t/p/w500/reJ0kHd3DIp2bHQZAmLiqoTPnfw.jpg,tv,79.955,3,7.689,1096,,2,['US'],"['post-traumatic stress disorder (ptsd)', 'secret organization', 'family secrets', 'family drama', 'spin off', 'kaiju', 'based on movie', '1950s', 'search for father', 'godzilla', '2010s']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:20:31.500000,
