CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between,is_tv,is_in_list,has_rated,engagement_score,is_mature,watched_time
french lover,Anas,0 days 01:56:42,4356.0,0.0,0.0,2646.0,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,french lover,French Lover,"[10749, 35]",https://image.tmdb.org/t/p/w500/eMGi1vZiI0CeRsn8UMa147PaVCa.jpg,movie,4.9074,1,6.1,225,122,,['FR'],"['waitress', 'interracial relationship', 'famous actor', 'paris']",-1,5,0,0,0,0,0,0,0,7.0,0 days 00:58:21,,0,0,1,8.282786885245901,1,7002.0
o assassino,Jose,0 days 01:53:09,0.0,0.0,0.0,6789.0,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,o assassino,Adamas: O Diamante Assassino,"[9648, 18]",https://image.tmdb.org/t/p/w500/xJY84jYMHwPCdk20XlhsETCTri3.jpg,tv,7.2163,4,6.6,48,[75],1,['KR'],"['secret organization', 'twin brother', 'reporter', 'writer', 'twins', 'prosecutor', 'mysterious killer', 'mysterious death', 'mysterious figure', 'conglomerate heir']",-1,-1,0,0,1,0,0,0,0,5.9865079365079366,0 days 01:53:09,,1,0,0,5.507698412698414,0,6789.0
passei por aqui,Jose,0 days 01:52:43,0.0,0.0,0.0,6763.0,3,,,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,passei por aqui,Passei por Aqui,"[80, 53]",https://image.tmdb.org/t/p/w500/txyWmAMhoy6liIueQhBnjqcbrSr.jpg,movie,2.8332,4,6.3,824,110,,['GB'],"['judge', 'graffiti', 'stakeout', 'break in', 'hidden room', 'suspenseful']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:37:34.333333333,,0,0,0,7.993253968253969,1,6763.0
sombra lunar,Jose,0 days 01:51:28,3829.0,736.0,0.0,2123.0,3,,,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,sombra lunar,Sombra Lunar,"[878, 53]",https://image.tmdb.org/t/p/w500/gCIF7srS60AK6Ejrb3s5HkCOHSz.jpg,movie,3.2438,7,6.173,1563,115,,"['US', 'CA']","['philadelphia, pennsylvania', 'detective', 'time travel', 'living in car', 'serial killer', 'hospital', 'grave digger', 'polaroid camera', 'angry', 'father daughter relationship', 'grandfather granddaughter relationship']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:37:09.333333333,,0,0,0,7.8396307798481715,1,6688.0
os irregulares de baker street,Jose,0 days 01:48:35,3239.0,0.0,0.0,3276.0,3,,,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,os irregulares de baker street,Os Irregulares de Baker Street,"[18, 9648, 10765]",https://image.tmdb.org/t/p/w500/gP7bD2RpKdCAGmeu5W7fHgCeMrK.jpg,tv,3.988,5,7.1,353,[53],1,['GB'],"['amateur detective', 'victorian england', 'partner', 'gang', 'supernatural power', 'victorian era', 'irreverent', 'bittersweet', 'period piece', 'suspense', 'horror', 'thriller', 'ominous']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:36:11.666666666,,1,0,0,6.407824198861935,1,6515.0
anjos da lei,Léo,0 days 01:46:44,4247.0,0.0,2157.0,0.0,2,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,anjos da lei,Anjos da Lei,"[80, 9648, 18]",https://image.tmdb.org/t/p/w500/bobmrfly4RfxW5ZylfqpaUgbWLR.jpg,tv,44.0568,39,7.2,188,[45],5,['US'],"['undercover', 'undercover agent', 'police', 'coming of age', 'police detective', 'police procedural']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:53:22,,1,0,0,6.946340388007055,1,6404.0
um match surpresa,Anas,0 days 01:44:36,4077.0,0.0,0.0,2199.0,3,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,um match surpresa,Um Match Surpresa,"[35, 10749]",https://image.tmdb.org/t/p/w500/3VoTb0s7nbCeotnDU27hBk9Olt9.jpg,movie,2.0114,5,6.9,1593,105,,['US'],"['holiday', 'ugliness', 'online dating', 'christmas', 'dating app', 'happy ending', 'christmas romance', 'feelgood']",-1,-1,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:34:52,,0,0,0,7.97420634920635,0,6276.0
hanna,Jose,0 days 01:44:17,6257.0,0.0,0.0,0.0,2,,,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,hanna,Hanna,"[10759, 18]",https://image.tmdb.org/t/p/w500/iYUtjx1EN4SVTgxd2TB4cZTGSQb.jpg,tv,12.5742,7,7.4,869,,3,['US'],"['coming of age', 'based on movie', 'child soldier', 'vengeance', 'admiring', 'amused']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:52:08.500000,,1,0,0,7.338392857142857,1,6257.0
desobedientes,Jose,0 days 01:44:08,717.0,0.0,0.0,5531.0,5,,,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,desobedientes,Desobedientes,"[18, 9648]",https://image.tmdb.org/t/p/w500/dSAwiJCW5tV1G1ETih1v475Kats.jpg,tv,10.9429,1,6.2,141,[44],1,['CA'],"['small town', 'commune', 'group therapy', 'hallucination', 'cult', 'cop', 'lesbian relationship', 'escape', 'memory', 'miniseries', 'pregnant woman', 'walkie talkie', 'troubled teen', 'vermont', 'lgbt', 'questioning', 'sleepwalking', 'bonding', 'mysterious', 'academy', 'facility', 'mysterious disappearance', 'baby shower', 'bisexual woman', 'transgender', 'psychological manipulation', 'secrets', 'critical', 'thriller', 'ambiguous', 'psychological torture', 'headmistress', 'missing children']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:20:49.600000,,1,0,0,6.937698412698413,1,6248.0
a paris errada,Anas,0 days 01:43:44,1888.0,0.0,0.0,4336.0,4,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,a paris errada,A Paris Errada,"[10749, 35]",https://image.tmdb.org/t/p/w500/nMhG3Gt2qyQWoKRqsaXWQ1tnlL4.jpg,movie,2.878,1,6.669,298,107,,['US'],"['dating show', 'dramatic']",-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:25:56,,0,0,0,7.840605993176087,0,6224.0
"se beber, não case",Léo,0 days 01:43:31,0.0,0.0,5855.0,356.0,3,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"se beber, não case","Se Beber, Não Case!",[35],https://image.tmdb.org/t/p/w500/m0tQyMdp3fy5ooUOQkJMd1fQKBJ.jpg,movie,15.0242,17,7.329,17929,99,,['US'],"['amnesia', 'blackjack', 'stag night', 'lost weekend', 'chapel', 'hit with tire iron', 'memory loss', 'las vegas', 'drugs', 'irreverent', 'absurd', 'dramatic', 'hilarious', 'amused', 'assertive', 'awestruck', 'celebratory', 'dignified', 'farcical', 'shaggy dog story']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:34:30.333333333,,0,0,0,7.993253968253969,1,6211.0
arrested development,Anas,0 days 01:43:22,0.0,0.0,6202.0,0.0,5,,,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,arrested development,Arrested Development,[35],https://image.tmdb.org/t/p/w500/2N238rhCY1V29DkjmyMocBjAQzw.jpg,tv,42.24,23,7.928,1618,,5,['US'],"['prison', 'narration', 'dysfunctional family', 'dark comedy', 'family relationships', 'sexual humor', 'mockumentary', 'psychotic', 'fake documentary', 'orange county, california', 'sitcom', 'deadpan', 'offbeat', 'witty', 'sharp']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:20:40.400000,,1,1,0,7.300198412698412,1,6202.0
cartão de natal,Anas,0 days 01:41:57,962.0,0.0,0.0,5155.0,2,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,cartão de natal,Cartão de Natal,"[10749, 35]",https://image.tmdb.org/t/p/w500/593HrzXc8g39irLI6faV64tLCes.jpg,movie,1.5274,9,6.272,848,104,,['US'],"['holiday', 'snowstorm', 'inheritance', 'christmas card', 'true love', 'christmas']",-1,-1,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:50:58.500000,,0,0,0,7.894696275946277,0,6117.0
"se beber, não case! parte ii",Léo,0 days 01:41:29,0.0,0.0,3496.0,2593.0,3,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,"se beber, não case! parte ii","Se Beber, Não Case! Parte II",[35],https://image.tmdb.org/t/p/w500/lvwO6R9RImeq3UBbh6DPWG3Iiqw.jpg,movie,8.0644,15,6.501,11167,101,,"['US', 'TH']","['stag night', 'memory loss', 'undercover cop', 'drugs']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:33:49.666666666,,0,0,0,7.993253968253969,1,6089.0
nosso segredinho,Anas,0 days 01:41:16,6076.0,0.0,0.0,0.0,2,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,nosso segredinho,Nosso Segredinho,"[10749, 35, 18]",https://image.tmdb.org/t/p/w500/u2WzilmXnBEAuGjOWIuY1a7k6yA.jpg,movie,2.0251,2,6.243,571,101,,['US'],"['holiday', 'christmas', 'absurd']",-1,2,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:50:38,,0,0,0,7.993253968253969,0,6076.0
"se beber, não case! parte iii",Léo,0 days 01:40:24,2992.0,0.0,1555.0,1477.0,10,,,1,2,1,5,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"se beber, não case! parte iii","Se Beber, Não Case! Parte III",[35],https://image.tmdb.org/t/p/w500/6SOnmTK0XoEcc7AoyXoce76to3Y.jpg,movie,7.2536,13,6.208,9150,100,,['US'],['las vegas'],-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:10:02.400000,,0,0,0,7.993253968253969,1,6024.0
the sinner,Jose,0 days 01:38:59,0.0,0.0,5939.0,0.0,6,,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,the sinner,The Sinner,"[80, 18]",https://image.tmdb.org/t/p/w500/rmibFGdqOe0kKKhPls0jVOdZCWw.jpg,tv,28.7284,9,7.5,1209,,4,['US'],"['based on novel or book', 'anthology', 'murder', 'memory loss', 'drugs', 'murder investigation', 'religiosity', 'sisterhood', 'psychotic attack']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:16:29.833333333,,1,0,0,7.117559523809524,1,5939.0
caramelo,Anas,0 days 01:38:19,0.0,0.0,0.0,5899.0,2,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,caramelo,Caramelo,"[35, 18]",https://image.tmdb.org/t/p/w500/c4ZEAah5a01cu27w7vT2IAoFogk.jpg,movie,3.3582,1,7.731,258,101,,['BR'],"['caramelo', 'καραμελο']",-1,2,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:49:09.500000,,0,0,0,7.860415684425584,0,5899.0
five nights at freddy's,Anas,0 days 01:36:37,0.0,0.0,4297.0,1500.0,3,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,five nights at freddy's,Five Nights at Freddy's - O Pesadelo Sem Fim,"[27, 53]",https://image.tmdb.org/t/p/w500/1yUbmAiw2cUSpyXNIaiST7JzCtG.jpg,movie,9.7656,3,7.334,4928,110,,['US'],"['night shift', 'child murder', 'restaurant', 'custody battle', 'child in peril', 'security guard', 'based on video game', 'evil child', 'duringcreditsstinger', 'troubled past', 'child neglect', 'haunted attractions', 'animatronic', 'abandoned building', 'brother sister relationship', 'supernatural horror', 'child abduction', 'horrified', 'vibrant', 'android horror', 'suspense mystery', 'youtubers']",-1,2,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:32:12.333333333,,0,0,0,7.384920634920634,0,5797.0
baki - o campeão,Jose,0 days 01:36:32,0.0,0.0,2461.0,3331.0,8,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,baki - o campeão,Baki - O Campeão,"[16, 10759, 80, 18]",https://image.tmdb.org/t/p/w500/hTlJIKptJedaho7N42xCdX0dJyY.jpg,tv,23.1113,8,8.1,1366,[24],2,['JP'],"['martial arts', 'fight', 'based on manga', 'underground fighting', 'warrior', 'strong', 'shounen', 'anime', 'fighting style', 'original net animation (ona)']",-1,5,0,0,0,0,0,1,1,5.9865079365079366,0 days 00:12:04,,1,0,0,7.993253968253969,1,5792.0
um natal ex-pecial,Anas,0 days 01:35:37,2052.0,0.0,3026.0,659.0,3,,,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,um natal ex-pecial,Um Natal Ex-pecial,"[10749, 35]",https://image.tmdb.org/t/p/w500/sinvwRDfIJZj4h36m3WXPTuX45e.jpg,movie,2.1008,1,6.1,169,91,,['US'],"['small town', 'holiday', 'marital separation', 'christmas', 'handyman', 'small town doctor', 'christmastime', 'family traditions', 'teenage children', 'new girlfriend']",-1,1,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:31:52.333333333,,0,0,0,7.993253968253969,0,5737.0
uma quedinha de natal,Anas,0 days 01:33:14,5594.0,0.0,0.0,0.0,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uma quedinha de natal,Uma Quedinha de Natal,"[10749, 35, 10751]",https://image.tmdb.org/t/p/w500/p9wwj23RF3Nqjj0EzxsDx0s2aV7.jpg,movie,1.6719,4,6.2,868,95,,['US'],"['holiday', 'christmas spirit']",-1,1,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:33:14,,0,0,0,7.900271512113617,0,5594.0
uma advogada brilhante,Anas,0 days 01:33:12,5592.0,0.0,0.0,0.0,1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,uma advogada brilhante,Uma Advogada Brilhante,[35],https://image.tmdb.org/t/p/w500/1O1GV6UhiWW7uRG8m92VApsi96V.jpg,movie,0.5047,1,6.6,27,96,,['BR'],[],-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:33:12,,0,0,0,7.847420634920635,0,5592.0
os bad boas,Anas,0 days 01:33:02,0.0,0.0,0.0,5582.0,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,os bad boas,Os Bad Boas,"[28, 35, 80, 9648]",https://image.tmdb.org/t/p/w500/sCMbtE4Owgbgndty07jCA7wH08F.jpg,movie,4.5457,1,5.9,170,95,,['NL'],"['detective', 'half-brother', 'buddy cop', 'buddy comedy', 'secret investigation', 'corrupt police officials', 'bodycam', 'swapping partners', 'cop partners']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:33:02,,0,0,0,7.889745196324144,1,5582.0
trocados,Anas,0 days 01:33:01,3144.0,0.0,0.0,2437.0,3,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,trocados,Trocadas na Maternidade,"[18, 10751]",https://image.tmdb.org/t/p/w500/db5XnOxGcUHeNhBRNbHfqTlzXmk.jpg,tv,45.3206,15,7.486,215,[43],5,['US'],"['deaf', 'disabled', 'switched at birth', 'sign languages', 'teen drama', 'biological parents']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:31:00.333333333,,1,0,0,6.598551125876707,1,5581.0
katla,Jose,0 days 01:32:35,0.0,0.0,0.0,5555.0,4,,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,katla,Katla,"[18, 9648, 10765]",https://image.tmdb.org/t/p/w500/vRPDQP51i1Z2RuoIQaxVSj7Pd5R.jpg,tv,5.8287,5,6.9,388,[45],1,['IS'],"['small town', 'volcano', 'outbreak', 'volcanic eruption', 'mysterious']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:23:08.750000,,1,0,0,6.4222663139329805,1,5555.0
não fale com estranhos,Jose,0 days 01:31:49,268.0,0.0,0.0,5241.0,12,,,0,0,0,0,0,11,1,0,0,0,0,0,0,0,5,0,0,7,0,não fale com estranhos,Não Fale com Estranhos,"[9648, 80]",https://image.tmdb.org/t/p/w500/60ZucrnG1YkcxAKnIHQVbB6z1WY.jpg,tv,6.7736,6,7.2,532,,1,['GB'],"['detective', 'based on novel or book', 'blackmail', 'miniseries', 'memory loss', 'drug use', 'intoxication', 'neighborhood', 'lies', 'sexting', 'high school american football', 'police women', 'secrets', 'suspenseful', 'british series']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:07:39.083333333,,1,0,0,6.818948412698413,1,5509.0
borbulhas de amor,Anas,0 days 01:31:45,599.0,0.0,0.0,4906.0,3,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,borbulhas de amor,Borbulhas de Amor,"[10749, 35]",https://image.tmdb.org/t/p/w500/ultFiOA5ASUOYiOny6FIgAlv8YF.jpg,movie,3.2798,1,6.0,211,99,,"['US', 'FR']","['christmas', 'admiring']",-1,2,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:30:35,,0,0,0,7.627092352092353,0,5505.0
minions,Léo,0 days 01:31:24,0.0,0.0,5484.0,0.0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,minions,Minions,"[10751, 16, 12, 35]",https://image.tmdb.org/t/p/w500/caq9Xi6b1sZNREfzFBO2tRIBzWn.jpg,movie,5.9387,11,6.419,11034,91,,['US'],"['assistant', 'villain', 'prequel', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'supervillain', 'amused', 'joyful']",-1,1,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:31:24,,0,0,0,7.993253968253969,0,5484.0
feliz assalto!,Anas,0 days 01:31:10,0.0,5470.0,0.0,0.0,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,feliz assalto!,Feliz Assalto!,"[10749, 80, 35]",https://image.tmdb.org/t/p/w500/d8DZAkIp3ibfZrDHDGKfkdMbiNn.jpg,movie,2.519,1,6.078,249,96,,"['US', 'GB']","['holiday', 'romcom', 'heist', 'christmas', 'cliché']",-1,2,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:31:10,,0,0,0,7.741517857142858,0,5470.0
quem vai salvar o natal? 2,Anas,0 days 01:29:31,0.0,0.0,5371.0,0.0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,quem vai salvar o natal? 2,Quem Vai Salvar o Natal? 2,"[35, 10751]",https://image.tmdb.org/t/p/w500/72rWDqGgOkEcKxf4iQqHwzF7JDE.jpg,movie,1.0239,1,5.4,32,93,,['ES'],['christmas'],-1,-1,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:29:31,,0,0,0,7.8059779825908855,0,5371.0
the umbrella academy,Jose,0 days 01:28:14,131.0,0.0,0.0,5163.0,4,,,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,the umbrella academy,The Umbrella Academy,"[10759, 10765, 18]",https://image.tmdb.org/t/p/w500/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,tv,30.7402,7,8.486,9906,,4,['US'],"['secret society', 'time travel', 'superhero', 'based on comic', 'dysfunctional family', 'alternate history', 'apocalypse', 'armageddon', 'universe', 'sibling', 'super power', 'end of world', 'curious', 'kids', 'science fiction', 'offbeat', 'witty', 'whimsical', 'wry']",-1,5,0,1,0,1,0,1,0,5.9865079365079366,0 days 00:22:03.500000,,1,0,0,6.669642857142858,1,5294.0
meio grávida,Anas,0 days 01:28:11,5291.0,0.0,0.0,0.0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,meio grávida,Meio Grávida,"[35, 10749]",https://image.tmdb.org/t/p/w500/qh4H7H0XYv9TJ0ZSFsOc64NUG1W.jpg,movie,2.3763,1,5.6,307,100,,['US'],"['pregnant', 'whimsical']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:28:11,,0,0,0,7.4024206349206345,1,5291.0
ele acredita em papai noel!,Anas,0 days 01:27:58,0.0,0.0,0.0,5278.0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ele acredita em papai noel!,Ele Acredita em Papai Noel!,"[10749, 35]",https://image.tmdb.org/t/p/w500/zMZEycAuLPQ2dBweIzDqUsiS8lp.jpg,movie,0.7274,4,5.2,150,89,,['US'],['christmas'],-1,1,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:27:58,,0,0,0,7.93520153379704,0,5278.0
natal com você,Anas,0 days 01:27:18,4310.0,0.0,928.0,0.0,3,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,natal com você,Natal com Você,"[10749, 35]",https://image.tmdb.org/t/p/w500/rU2sCry1YzuBoeMj06eWqTfponC.jpg,movie,1.0132,4,5.8,236,89,,['US'],['christmas'],-1,1,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:29:06,,0,0,0,7.897748350276441,0,5238.0
o segredo do papai noel,Anas,0 days 01:27:10,0.0,0.0,0.0,5230.0,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o segredo do papai noel,O Segredo do Papai Noel,"[35, 10749]",https://image.tmdb.org/t/p/w500/4bO9x28Kc4mCVvB8QL5EpRAYSwV.jpg,movie,1.7722,1,6.3,181,92,,['US'],"['santa claus', 'resort', 'single mother', 'ski resort', 'christmas spirit', 'ski', 'christmas', 'holiday resort', 'secret santa', 'alpine skiing', 'christmas romance']",-1,1,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:27:10,,0,0,0,7.73057280883368,0,5230.0
uma mulher sem filtro,Anas,0 days 01:27:07,1757.0,0.0,3470.0,0.0,2,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,uma mulher sem filtro,Uma Mulher Sem Filtro,[35],https://image.tmdb.org/t/p/w500/oci0gTmLt55n6T5reT6xKvRNT9y.jpg,movie,0.9182,1,6.4,18,92,,['BR'],"['feminism', 'amused']",-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:43:33.500000,,0,0,0,7.72785541752933,0,5227.0
o preço da família,Anas,0 days 01:26:43,0.0,0.0,5203.0,0.0,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,o preço da família,O Preço da Família,[35],https://image.tmdb.org/t/p/w500/LajfxwKDkZlbKacfLvrzLMIocQ.jpg,movie,0.6434,4,6.423,239,90,,"['IT', 'US']",[],-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:26:43,,0,0,0,7.810846560846562,0,5203.0
dna do crime,Anas,0 days 01:25:50,0.0,0.0,0.0,5150.0,4,,,0,1,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,dna do crime,DNA DO CRIME,"[18, 80, 10759]",https://image.tmdb.org/t/p/w500/cqg7OXDPSWSCsfAs9BuBp0r7kO3.jpg,tv,5.5054,3,7.533,122,,2,['BR'],[],-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:21:27.500000,,1,0,0,6.569642857142857,1,5150.0
operação beijo de natal,Anas,0 days 01:25:18,0.0,0.0,0.0,5118.0,1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,operação beijo de natal,Operação Beijo de Natal,"[10770, 10749, 35]",https://image.tmdb.org/t/p/w500/sjv0EBL6MEGCixUWop1hrWTG0fj.jpg,movie,0.5163,2,5.8,15,87,,"['US', 'CA']","['christmas', 'christmas romance']",-1,-1,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:25:18,,0,0,0,7.89555281882868,0,5118.0
um milagre de natal para daisy,Anas,0 days 01:24:38,2524.0,0.0,0.0,2554.0,4,,,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,um milagre de natal para daisy,Um Milagre de Natal para Daisy,"[10749, 35, 10751, 10770]",https://image.tmdb.org/t/p/w500/unzCtStYLXr12pbdq3kGo6kBcy7.jpg,movie,1.0901,5,5.8,110,85,,['US'],"['based on novel or book', 'christmas']",-1,0,1,0,0,0,0,0,0,5.9865079365079366,0 days 00:21:09.500000,,0,0,0,7.971685340802988,0,5078.0
no ritmo do natal,Anas,0 days 01:23:27,0.0,0.0,5007.0,0.0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no ritmo do natal,No Ritmo do Natal,"[10749, 35]",https://image.tmdb.org/t/p/w500/nDca3DKfHqD2NHZF8vmtOWYxqjc.jpg,movie,1.5907,2,5.794,238,87,,['US'],"['dancer', 'holiday', 'love', 'nightclub owner', 'male stripper', 'male stripping', 'christmas', 'life', 'cliché', 'embarrassed', 'gay interest']",-1,1,1,0,0,0,0,0,0,5.9865079365079366,0 days 01:23:27,,0,0,0,7.789230979748222,0,5007.0
"os seus, os meus e os nossos",Anas,0 days 01:23:02,0.0,0.0,0.0,4982.0,1,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"os seus, os meus e os nossos","Os Seus, os Meus e os Nossos","[35, 10751, 10749]",https://image.tmdb.org/t/p/w500/5AQ9RLdv5Po91B7s7MNPQmqHtjt.jpg,movie,3.6318,21,6.177,892,90,,['US'],"['big family', 'family', 'blended family']",-1,1,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:23:02,,0,0,0,7.606216931216931,0,4982.0
guerra e revolta,Jose,0 days 01:22:19,0.0,0.0,0.0,4939.0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,guerra e revolta,Guerra e Revolta,"[28, 18, 36]",https://image.tmdb.org/t/p/w500/gon3hWutfHTz7jCuG7i3kBRzS0R.jpg,movie,4.1112,2,6.98,198,128,,['KR'],"['japanese invasion of korea', 'joseon dynasty (1392–1910)']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 01:22:19,,0,0,0,6.208748759920635,1,4939.0
monstro,Jose,0 days 01:22:06,0.0,326.0,419.0,4181.0,4,,,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,monstro,Monarch - Legado de Monstros,"[10765, 18, 10759]",https://image.tmdb.org/t/p/w500/reJ0kHd3DIp2bHQZAmLiqoTPnfw.jpg,tv,97.0955,3,7.695,1127,,2,['US'],"['post-traumatic stress disorder (ptsd)', 'secret organization', 'family secrets', 'family drama', 'spin off', 'kaiju', 'based on movie', '1950s', 'search for father', 'godzilla', '2010s']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:20:31.500000,,1,0,0,6.414087301587301,1,4926.0
"família, pero no mucho",Anas,0 days 01:19:29,1980.0,2789.0,0.0,0.0,3,,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"família, pero no mucho","Família, Pero no Mucho",[35],https://image.tmdb.org/t/p/w500/mNAb8OTrlhW5eFwlsPUW3CRXCXh.jpg,movie,0.7588,1,6.3,47,80,,['BR'],"['regionalism', 'family vacation', 'trip to argentina', 'brazilian comedy', 'family rivalry']",-1,1,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:26:29.666666666,,0,0,0,7.960962301587301,0,4769.0
